,dataset_name,ACF&PACF: n_random_points=10 nb_inst_per_class=1,ACF&PACF: n_random_points=10 nb_inst_per_class=10,ACF&PACF: n_random_points=30 nb_inst_per_class=1,ACF&PACF: n_random_points=30 nb_inst_per_class=10,Max PACF: n_random_points=10 nb_inst_per_class=1,Max PACF: n_random_points=10 nb_inst_per_class=10,Max PACF: n_random_points=30 nb_inst_per_class=1,Max PACF: n_random_points=30 nb_inst_per_class=10,None: n_random_points=10 nb_inst_per_class=1,None: n_random_points=10 nb_inst_per_class=10,None: n_random_points=30 nb_inst_per_class=1,None: n_random_points=30 nb_inst_per_class=10,all: n_random_points=10 nb_inst_per_class=1,all: n_random_points=10 nb_inst_per_class=10,all: n_random_points=30 nb_inst_per_class=1,all: n_random_points=30 nb_inst_per_class=10
62,SyntheticControl,0.8,0.96,0.89,0.97,0.98,0.89,0.98,0.95,0.96,0.93,0.98,0.97,0.96,0.99,0.98,0.99
63,ToeSegmentation1,0.87,0.89,0.87,0.89,0.85,0.88,0.73,0.86,0.84,0.85,0.66,0.86,0.83,0.87,0.84,0.87
64,ToeSegmentation2,0.87,0.9,0.89,0.9,0.85,0.86,0.74,0.88,0.79,0.84,0.74,0.84,0.86,0.87,0.86,0.87
65,Trace,1.0,1.0,1.0,1.0,0.98,0.99,0.98,1.0,0.96,1.0,0.98,1.0,1.0,1.0,1.0,1.0
66,TwoLeadECG,0.84,0.99,0.93,1.0,0.85,0.99,0.9,1.0,0.91,0.95,0.91,0.98,0.94,1.0,0.98,1.0
67,TwoPatterns,0.97,1.0,0.95,1.0,0.75,0.96,0.81,0.85,0.63,0.97,0.81,0.89,0.98,1.0,0.98,1.0
68,UMD,0.96,0.97,0.93,0.98,0.67,0.83,0.7,0.85,0.76,0.94,0.74,0.95,0.96,0.98,0.96,0.97
69,Wafer,1.0,1.0,1.0,1.0,0.98,1.0,0.99,1.0,0.98,1.0,0.99,1.0,1.0,1.0,1.0,1.0
70,Wine,0.85,0.78,0.78,0.78,0.69,0.79,0.7,0.81,0.61,0.83,0.61,0.84,0.82,0.88,0.84,0.89
71,WordSynonyms,0.66,0.68,0.67,0.68,0.62,0.63,0.52,0.65,0.61,0.65,0.47,0.68,0.67,0.69,0.68,0.7
