,NB,C45,SVML,SVMQ,Logistic,BN,RandF,RotF,MLP,Euclidean_1NN,DTW_R1_1NN,DTW_Rn_1NN,DDTW_R1_1NN,DDTW_Rn_1NN,ERP_1NN,LCSS_1NN,MSM_1NN,TWE_1NN,WDDTW_1NN,WDTW_1NN,DD_DTW,DTD_C,DTW_F,ST,LS,FS,BoP,SAXVSM,BOSS,TSF,TSBF,LPS,ACF,PS,EE,CID_DTW,Flat-COTE,HIVE-COTE
HandOutlines,0.830162162,0.848081081,0.889567568,0.893297297,0.836162162,0.84327027,0.897189189,0.912081081,0.695752896,0.852837838,0.855621622,0.85727027,0.785216216,0.853405405,0.851486487,0.859486486,0.864,0.858324324,0.860675676,0.855189189,0.868108108,0.854162162,0.915315315,0.923918919,0.836837838,0.84075671,0.866381015,0.877756757,0.902811,0.908621622,0.879486486,0.867540541,0.742459459,0.800459459,0.880054054,0.854864865,0.893945946,0.911972973
Haptics,0.42724026,0.358831169,0.421071429,0.426623377,0.336428571,0.417175325,0.46224026,0.469285714,0.445292208,0.386071429,0.390097403,0.408733766,0.308441558,0.323116883,0.416818182,0.405584416,0.443538961,0.435649351,0.326850649,0.406331169,0.377435065,0.385,0.463571429,0.511850649,0.477564935,0.3562987,0.380032468,0.422272727,0.459005641,0.466753247,0.463084416,0.415227273,0.393831169,0.414772727,0.450616883,0.415422078,0.516948052,0.530324675
Herring,0.56421875,0.55375,0.57859375,0.57921875,0.535625,0.56890625,0.58984375,0.60796875,0.580625,0.49578125,0.56609375,0.54484375,0.5371875,0.5053125,0.54515625,0.555625,0.55875,0.566875,0.51765625,0.55015625,0.5275,0.53234375,0.60921875,0.653432112,0.62796875,0.5578125,0.5546875,0.59375,0.6053125,0.60625,0.59046875,0.54859375,0.60234375,0.59359375,0.56625,0.54375,0.631875,0.63390625
InlineSkate,0.242672727,0.253127273,0.262927273,0.307272727,0.24,0.175563636,0.334363636,0.340345455,0.289381818,0.326090909,0.395054545,0.399818182,0.470072727,0.452727273,0.443236364,0.424472727,0.455145455,0.427436364,0.462818182,0.404490909,0.552527273,0.513636364,0.382163636,0.393018182,0.298527273,0.2569273,0.388272727,0.4066,0.502690909,0.378509091,0.377090909,0.448709091,0.463927273,0.411963636,0.476418182,0.427581818,0.526454546,0.525927273
InsectWingbeatSound,0.622914141,0.508949495,0.616454545,0.581383838,0.401070707,0.609717172,0.642757576,0.633131313,0.594116162,0.553055556,0.349469697,0.555414141,0.244474747,0.53129798,0.542333333,0.56519697,0.57039899,0.55340404,0.528151515,0.553464646,0.343,0.461161616,0.602121212,0.616535354,0.549909091,0.48813636,0.485171717,0.535959596,0.510252525,0.613005051,0.616010101,0.519090909,0.545191919,0.560328283,0.580979798,0.553621212,0.63890404,0.635393939
ItalyPowerDemand,0.9001069,0.948124393,0.964859086,0.960641399,0.938940719,0.937706511,0.963605442,0.967473275,0.953896987,0.95372206,0.922555879,0.951156463,0.886190476,0.955587949,0.948270165,0.937405248,0.936404276,0.938571429,0.924878523,0.933887269,0.919873664,0.938765792,0.947852284,0.953119534,0.952108844,0.90899904,0.87797862,0.816851312,0.866005831,0.957648202,0.926239067,0.913955296,0.820787172,0.893051506,0.950826045,0.949805637,0.970349854,0.967842566
LargeKitchenAppliances,0.504426667,0.536746667,0.43976,0.47944,0.37504,0.576026667,0.59624,0.622453333,0.356506667,0.523653333,0.796533333,0.788,0.77768,0.768453333,0.653066667,0.634586667,0.749066667,0.75224,0.77176,0.795253333,0.793282424,0.791466667,0.822986667,0.932506667,0.765466667,0.41922644,0.686986667,0.850666667,0.836586667,0.644373333,0.550586667,0.679653333,0.841893333,0.80112,0.81576,0.782986667,0.900026667,0.922693333
Lightning2,0.677704918,0.695901639,0.646229508,0.710819672,0.605245902,0.733606557,0.766885246,0.759836066,0.702131148,0.715737705,0.82295082,0.830655738,0.661967213,0.691147541,0.843934426,0.754918033,0.791639344,0.787540984,0.694918033,0.83704918,0.815081967,0.799672131,0.710163934,0.658852459,0.758852459,0.48032753,0.697213115,0.743934426,0.81,0.756721311,0.759836066,0.756557377,0.648688525,0.673442623,0.835245902,0.825737705,0.784754098,0.79704918
Lightning7,0.593287671,0.56,0.63260274,0.649315068,0.464794521,0.632054795,0.692465753,0.701232877,0.616438356,0.618219178,0.698356164,0.743561644,0.550410959,0.615753425,0.759041096,0.657808219,0.712739726,0.707808219,0.614931507,0.754109589,0.69369863,0.707260274,0.671232877,0.724383562,0.764657534,0.10136946,0.553287671,0.595479452,0.665616438,0.72260274,0.680273973,0.630821918,0.574794521,0.517534247,0.763424658,0.718767123,0.799452055,0.81109589
Mallat,0.827901919,0.700823028,0.904358209,0.903556503,0.749496802,0.957761194,0.909547974,0.94596162,0.870904051,0.933283582,0.942200426,0.943176972,0.917936034,0.933321962,0.932042644,0.929326226,0.917518124,0.929496802,0.924481876,0.945424307,0.95045629,0.946788913,0.928776119,0.97234968,0.951253731,0.89324518,0.852196162,0.850609808,0.948594689,0.936531372,0.951134328,0.908234542,0.854008529,0.919424307,0.960690832,0.954226013,0.97417484,0.975535181
Meat,0.970666667,0.9395,0.9965,0.995833333,0.992833333,0.977,0.979333333,0.993833333,0.999166667,0.981,0.971166667,0.979833333,0.759,0.820666667,0.981,0.610833333,0.976666667,0.975833333,0.789666667,0.970833333,0.9685,0.977666667,0.983333333,0.965666667,0.813666667,0.92416664,0.961666667,0.954,0.980333333,0.978333333,0.9825,0.968,0.927,0.923166667,0.9785,0.979666667,0.980833333,0.987166667
