dataset_name,HIVE-COTE,RDST,ROCKET,RSAST,TS-CHIEF
ToeSegmentation2,0.9538,0.9684615384615384,0.8876923076923078,0.9307692307692308,0.9538
Trace,1.0,1.0,1.0,0.999,1.0
TwoLeadECG,0.9965,0.99657594381036,0.9991220368744512,0.9812115891132572,0.9965
TwoPatterns,1.0,1.0,1.0,0.991775,1.0
UMD,,1.0,0.986111111111111,0.9125,0.9889
UWaveGestureLibraryAll,0.9685,0.9791457286432161,0.9740089335566722,0.9698213288665549,0.9687
UWaveGestureLibraryX,0.8398,0.8515354550530431,0.8493020658849805,0.6869905080960358,0.8417
UWaveGestureLibraryY,0.7655,0.7782244556113903,0.7952261306532663,0.5572585147962033,0.7716
UWaveGestureLibraryZ,0.7831,0.7770240089335567,0.7860413176996092,0.6092964824120604,0.7797
Wafer,0.9994,1.0,0.9988805970149253,1.0,0.9989
Wine,0.7778,0.9814814814814816,0.912962962962963,0.9092592592592592,0.8889
WordSynonyms,0.7382,0.7567398119122257,0.7478056426332288,0.6807210031347962,0.7868
Worms,0.5584,0.687012987012987,0.7402597402597403,0.6272727272727272,0.7922
WormsTwoClass,0.7792,0.7051948051948053,0.6649350649350649,0.7012987012987013,0.8182
Yoga,0.9177,0.9244999999999999,0.9022,0.8428666666666667,0.8483
