,accuracy,time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
65,0.7142857142857143,0.008975028991699219,Chinatown,ACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,ACF
66,0.9037900874635568,0.010971546173095703,Chinatown,PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,PACF
67,0.6180758017492711,0.012966156005859375,Chinatown,None: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,None
68,0.9708454810495627,0.0468747615814209,Chinatown,ACF&PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,ACF&PACF
69,0.39941690962099125,0.026926755905151367,Chinatown,ACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,ACF
70,0.9271137026239067,0.039083003997802734,Chinatown,PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,PACF
71,0.37026239067055394,0.019945383071899414,Chinatown,None: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,None
72,0.924198250728863,0.01994490623474121,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
73,0.49271137026239065,0.013038396835327148,Chinatown,ACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF
74,0.9387755102040817,0.018951416015625,Chinatown,PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,PACF
75,0.42565597667638483,0.016947269439697266,Chinatown,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
76,0.9825072886297376,0.12566447257995605,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
77,0.5102040816326531,0.05086326599121094,Chinatown,ACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF
78,0.9737609329446064,0.13875508308410645,Chinatown,PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,PACF
79,0.40233236151603496,0.046923160552978516,Chinatown,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
80,0.9067055393586005,0.014960527420043945,Chinatown,ACF&PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,ACF&PACF
81,0.46938775510204084,0.009973526000976562,Chinatown,ACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,ACF
82,0.9212827988338192,0.01096963882446289,Chinatown,PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,PACF
83,0.5160349854227405,0.008976221084594727,Chinatown,None: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,None
84,0.8892128279883382,0.05106472969055176,Chinatown,ACF&PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,ACF&PACF
85,0.6268221574344023,0.020945072174072266,Chinatown,ACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,ACF
