,accuracy,time_fit,time_test,dataset_name,hyperparameter,rpoint,nb_per_class,classifier_name,series_length,exp_length
19,0.425,5.2253499031066895,4.714883327484131,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,128,7
20,0.525,17.112445831298828,16.615429639816284,HouseTwenty,All: n_random_points=10 nb_inst_per_class=10,10,10,RSAST All,128,7
21,0.525,10.607198476791382,9.537299633026123,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=30,10,30,RSAST ACF&PACF,128,7
22,0.55,1.1790881156921387,0.5642733573913574,HouseTwenty,ROCKET: num_kernels=10_000,0,0,Rocket,128,7
23,0.625,0.44243693351745605,0.2509777545928955,HouseTwenty,RDST: n_shapelets=10_000,0,0,RDST,128,7
24,0.775,3.4911983013153076,2.996805429458618,HouseTwenty,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,256,8
25,0.8,22.766368627548218,18.892554759979248,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,256,8
26,0.65,115.84362888336182,115.64224863052368,HouseTwenty,All: n_random_points=10 nb_inst_per_class=10,10,10,RSAST All,256,8
27,0.85,41.9482262134552,34.06776547431946,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=30,10,30,RSAST ACF&PACF,256,8
28,0.95,2.234452247619629,1.0811021327972412,HouseTwenty,ROCKET: num_kernels=10_000,0,0,Rocket,256,8
29,0.925,1.2715742588043213,0.7344274520874023,HouseTwenty,RDST: n_shapelets=10_000,0,0,RDST,256,8
30,0.85,10.170888185501099,6.921446084976196,HouseTwenty,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,512,9
31,0.875,86.45063829421997,51.78408432006836,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,512,9
32,0.825,789.0360999107361,793.4747543334961,HouseTwenty,All: n_random_points=10 nb_inst_per_class=10,10,10,RSAST All,512,9
33,0.875,153.49530601501465,105.8922209739685,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=30,10,30,RSAST ACF&PACF,512,9
34,0.975,4.354147434234619,2.1475658416748047,HouseTwenty,ROCKET: num_kernels=10_000,0,0,Rocket,512,9
35,0.975,2.8534560203552246,1.6099374294281006,HouseTwenty,RDST: n_shapelets=10_000,0,0,RDST,512,9
36,0.85,81.8069498538971,55.92164993286133,HouseTwenty,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,1024,10
37,0.9,1109.8231728076935,860.858640909195,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,1024,10
38,0.825,5485.688858747482,5319.426733016968,HouseTwenty,All: n_random_points=10 nb_inst_per_class=10,10,10,RSAST All,1024,10
39,0.775,1762.700273513794,1397.814870595932,HouseTwenty,ACF&PACF: n_random_points=10 nb_inst_per_class=30,10,30,RSAST ACF&PACF,1024,10
40,1.0,7.695751905441284,3.814749002456665,HouseTwenty,ROCKET: num_kernels=10_000,0,0,Rocket,1024,10
41,0.975,4.950628280639648,2.8897690773010254,HouseTwenty,RDST: n_shapelets=10_000,0,0,RDST,1024,10
