,accuracy,time_fit,time_test,dataset_name,hyperparameter,rpoint,nb_per_class,classifier_name,number_series
15,0.9329446064139941,0.12943387031555176,0.4088714122772217,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,64
16,0.9416909620991254,0.3763256072998047,1.2968404293060303,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=30,10,30,RSAST ACF&PACF,64
17,0.9475218658892128,0.5650782585144043,2.1014952659606934,Chinatown,All: n_random_points=10 nb_inst_per_class=10,10,10,RSAST All,64
18,0.9825072886297376,1.1620912551879883,1.2125592231750488,Chinatown,ROCKET LR: num_kernels=10_000,0,0,Rocket LR,64
19,0.9387755102040817,0.0789642333984375,0.31966710090637207,Chinatown,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,64
20,0.9795918367346939,0.030439138412475586,0.0224609375,Chinatown,RDST: n_shapelets=10_000,0,0,RDST,64
21,0.9329446064139941,0.035854339599609375,0.042923688888549805,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,128
22,0.9387755102040817,0.21728038787841797,0.3312416076660156,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,128
23,0.9358600583090378,0.533984899520874,1.1123456954956055,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=30,10,30,RSAST ACF&PACF,128
24,0.9387755102040817,0.962557315826416,2.0767626762390137,Chinatown,All: n_random_points=10 nb_inst_per_class=10,10,10,RSAST All,128
25,0.9795918367346939,1.4772298336029053,1.2610795497894287,Chinatown,ROCKET LR: num_kernels=10_000,0,0,Rocket LR,128
26,0.9475218658892128,0.14591050148010254,0.3401041030883789,Chinatown,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,128
27,0.9795918367346939,0.06237959861755371,0.04082775115966797,Chinatown,RDST: n_shapelets=10_000,0,0,RDST,128
28,0.9300291545189504,0.05854153633117676,0.05736660957336426,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,256
29,0.9387755102040817,0.36625003814697266,0.40285253524780273,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,256
30,0.9416909620991254,1.0216186046600342,1.1703104972839355,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=30,10,30,RSAST ACF&PACF,256
31,0.9358600583090378,1.7297706604003906,2.0784902572631836,Chinatown,All: n_random_points=10 nb_inst_per_class=10,10,10,RSAST All,256
32,0.9795918367346939,2.4890124797821045,1.2948286533355713,Chinatown,ROCKET LR: num_kernels=10_000,0,0,Rocket LR,256
33,0.9854227405247813,0.29450035095214844,0.3388376235961914,Chinatown,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,256
34,0.9795918367346939,0.19653010368347168,0.12332653999328613,Chinatown,RDST: n_shapelets=10_000,0,0,RDST,256
35,0.9358600583090378,0.10524988174438477,0.053792715072631836,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,512
36,0.9387755102040817,0.6343562602996826,0.3752784729003906,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,512
37,0.9387755102040817,1.9567232131958008,1.1786682605743408,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=30,10,30,RSAST ACF&PACF,512
38,0.9416909620991254,3.313610553741455,2.085597515106201,Chinatown,All: n_random_points=10 nb_inst_per_class=10,10,10,RSAST All,512
39,0.9795918367346939,4.063424587249756,1.2712252140045166,Chinatown,ROCKET LR: num_kernels=10_000,0,0,Rocket LR,512
40,0.9475218658892128,0.6028082370758057,0.36411261558532715,Chinatown,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,512
41,0.9825072886297376,0.5826654434204102,0.1700148582458496,Chinatown,RDST: n_shapelets=10_000,0,0,RDST,512
42,0.9416909620991254,0.2574319839477539,0.07221865653991699,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,1024
43,0.9416909620991254,1.202017068862915,0.37213611602783203,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,1024
44,0.9387755102040817,4.345585584640503,1.3352632522583008,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=30,10,30,RSAST ACF&PACF,1024
45,0.9475218658892128,6.82211971282959,2.101301908493042,Chinatown,All: n_random_points=10 nb_inst_per_class=10,10,10,RSAST All,1024
46,0.9825072886297376,7.393671989440918,1.2901279926300049,Chinatown,ROCKET LR: num_kernels=10_000,0,0,Rocket LR,1024
47,0.9504373177842566,1.0423610210418701,0.3244631290435791,Chinatown,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,1024
48,0.9825072886297376,2.3815090656280518,0.36130213737487793,Chinatown,RDST: n_shapelets=10_000,0,0,RDST,1024
